,trial,lr,epochs,val_acc,method
0,1,6.070770490926786e-05,25,0.594,Bayesian Search
1,2,0.00037308596728276506,6,0.607,Bayesian Search
2,3,0.003906971025931678,13,0.677,Bayesian Search
3,4,0.00523614466121509,7,0.451,Bayesian Search
4,5,0.00021939283477278527,23,0.649,Bayesian Search
5,6,3.6010674927563343e-06,13,0.29,Bayesian Search
6,7,1.4804556219651173e-06,21,0.227,Bayesian Search
7,8,4.996988909264992e-06,21,0.359,Bayesian Search
8,9,5.020653852419924e-05,6,0.47,Bayesian Search
9,10,2.1647206268668377e-06,11,0.265,Bayesian Search
10,11,0.008188928202457767,17,0.587,Bayesian Search
11,12,0.000978114871317295,17,0.617,Bayesian Search
12,13,0.0013044939068758059,25,0.652,Bayesian Search
13,14,0.001476832068750736,10,0.70,Bayesian Search
14,15,0.00297590864482819,10,0.639,Bayesian Search
15,16,0.0014947662484846506,14,0.665,Bayesian Search
16,17,2.3049414143719277e-05,9,0.409,Bayesian Search
17,18,0.00038907225225306855,12,0.646,Bayesian Search
18,19,0.009166272801326666,17,0.53,Bayesian Search
19,20,0.0027776432121425533,9,0.634,Bayesian Search
20,21,0.0007424111740568697,15,0.662,Bayesian Search
21,22,0.002274859581008201,14,0.68,Bayesian Search
22,23,0.0031632385457811612,13,0.647,Bayesian Search
23,24,0.00018524748033396296,16,0.611,Bayesian Search
24,25,0.002037837734805069,11,0.674,Bayesian Search
