,lr,epochs,val_acc,train_accs,val_accs,runtime,trial,method
0,1e-06,5,0.20,"[0.10938775510204081, 0.12093877551020409, 0.1340612244897959, 0.14195918367346938, 0.14224489795918369]","[0.097, 0.113, 0.121, 0.152, 0.138]",15.535847425460815,1,Grid Search
1,1e-06,10,0.197,"[0.11591836734693878, 0.13422448979591836, 0.15314285714285714, 0.1684081632653061, 0.18212244897959184, 0.18783673469387754, 0.1946122448979592, 0.19640816326530613, 0.1983469387755102, 0.2016734693877551]","[0.116, 0.121, 0.136, 0.168, 0.181, 0.168, 0.185, 0.196, 0.195, 0.18]",30.552474975585938,2,Grid Search
2,1e-06,15,0.245,"[0.11904081632653062, 0.1363673469387755, 0.15381632653061225, 0.17255102040816325, 0.18877551020408162, 0.19869387755102041, 0.21236734693877551, 0.21857142857142858, 0.22377551020408162, 0.22748979591836735, 0.23312244897959183, 0.233, 0.23481632653061224]","[0.114, 0.142, 0.163, 0.167, 0.187, 0.208, 0.22, 0.227, 0.217, 0.237, 0.243, 0.235, 0.233]",39.78146815299988,3,Grid Search
3,1e-06,20,0.225,"[0.12706122448979593, 0.13387755102040816, 0.1516122448979592, 0.16989795918367348, 0.18308163265306124, 0.19804081632653062, 0.21157142857142858, 0.22373469387755102, 0.23155102040816328, 0.23720408163265305, 0.24279591836734693, 0.24444897959183673, 0.2450204081632653, 0.24993877551020408, 0.25095918367346937]","[0.123, 0.145, 0.151, 0.164, 0.191, 0.171, 0.196, 0.207, 0.221, 0.228, 0.232, 0.219, 0.254, 0.247, 0.24]",45.65917682647705,4,Grid Search
4,1e-06,25,0.236,"[0.12687755102040815, 0.13869387755102042, 0.15559183673469387, 0.17014285714285715, 0.1850816326530612, 0.1959591836734694, 0.20440816326530611, 0.21293877551020407, 0.21987755102040815, 0.2283469387755102, 0.22975510204081634, 0.23446938775510204, 0.2372857142857143, 0.24071428571428571, 0.24226530612244898, 0.24726530612244899, 0.245734693877551, 0.2496938775510204, 0.2503877551020408]","[0.133, 0.15, 0.154, 0.174, 0.18, 0.195, 0.193, 0.216, 0.212, 0.233, 0.242, 0.238, 0.249, 0.243, 0.265, 0.248, 0.269, 0.265, 0.263]",58.10624861717224,5,Grid Search
5,1e-05,5,0.337,"[0.24889795918367347, 0.30136734693877554, 0.32142857142857145, 0.3342857142857143, 0.3353469387755102]","[0.234, 0.287, 0.314, 0.33, 0.321]",15.252441644668579,6,Grid Search
6,1e-05,10,0.38,"[0.24646938775510205, 0.29475510204081634, 0.33185714285714285, 0.35044897959183674, 0.36975510204081635, 0.3772448979591837, 0.3819183673469388, 0.38640816326530614, 0.3873673469387755, 0.38740816326530614]","[0.226, 0.286, 0.314, 0.342, 0.361, 0.37, 0.376, 0.373, 0.381, 0.369]",30.500966787338257,7,Grid Search
7,1e-05,15,0.393,"[0.24006122448979592, 0.29497959183673467, 0.32779591836734695, 0.3459387755102041, 0.3596938775510204, 0.36995918367346936, 0.38157142857142856, 0.38546938775510203, 0.39310204081632655, 0.39587755102040817, 0.39922448979591835, 0.4, 0.4005102040816326]","[0.238, 0.275, 0.315, 0.334, 0.336, 0.357, 0.348, 0.368, 0.36, 0.384, 0.394, 0.381, 0.39]",39.82137417793274,8,Grid Search
8,1e-05,20,0.381,"[0.24602040816326531, 0.302, 0.33985714285714286, 0.36048979591836733, 0.3693061224489796, 0.3813469387755102, 0.39310204081632655, 0.40179591836734696, 0.40491836734693876, 0.4124897959183674]","[0.247, 0.3, 0.333, 0.344, 0.364, 0.37, 0.373, 0.399, 0.385, 0.391]",30.483957290649414,9,Grid Search
9,1e-05,25,0.434,"[0.2183877551020408, 0.2955510204081633, 0.3320612244897959, 0.3535510204081633, 0.3690204081632653, 0.37904081632653064, 0.38663265306122446, 0.39624489795918366, 0.403734693877551, 0.41283673469387755, 0.41689795918367345, 0.42442857142857143, 0.4283061224489796, 0.43259183673469387, 0.43544897959183676, 0.43779591836734694, 0.4389387755102041, 0.44226530612244896]","[0.223, 0.276, 0.334, 0.345, 0.363, 0.376, 0.366, 0.378, 0.385, 0.405, 0.386, 0.414, 0.417, 0.419, 0.424, 0.44, 0.426, 0.427]",54.87520718574524,10,Grid Search
10,0.0001,5,0.49,"[0.40391836734693876, 0.4578979591836735, 0.48412244897959184, 0.4993877551020408, 0.4999183673469388]","[0.407, 0.458, 0.461, 0.483, 0.5]",15.324141263961792,11,Grid Search
11,0.0001,10,0.559,"[0.3826734693877551, 0.45081632653061227, 0.48514285714285715, 0.5099795918367347, 0.5277551020408163, 0.5439387755102041, 0.5496122448979592, 0.5571020408163265, 0.5585714285714286, 0.5594285714285714]","[0.388, 0.454, 0.485, 0.505, 0.504, 0.546, 0.537, 0.548, 0.55, 0.553]",30.567761421203613,12,Grid Search
12,0.0001,15,0.583,"[0.4029795918367347, 0.46210204081632655, 0.4911632653061225, 0.5191224489795918, 0.5341428571428571, 0.546, 0.5606122448979591, 0.568, 0.5777551020408164, 0.5839183673469388, 0.5883265306122449, 0.5898367346938775, 0.5934081632653061, 0.5926122448979592]","[0.398, 0.451, 0.493, 0.503, 0.508, 0.546, 0.539, 0.559, 0.57, 0.567, 0.584, 0.591, 0.576, 0.58]",42.760204553604126,13,Grid Search
13,0.0001,20,0.601,"[0.4111020408163265, 0.4700204081632653, 0.494469387755102, 0.5231224489795918, 0.5455918367346939, 0.5605918367346939, 0.5722857142857143, 0.5826326530612245, 0.5903673469387755, 0.595265306122449, 0.6041224489795919, 0.6069591836734693, 0.6101632653061224, 0.6098571428571429]","[0.406, 0.461, 0.474, 0.535, 0.536, 0.54, 0.568, 0.574, 0.587, 0.573, 0.6, 0.61, 0.6, 0.609]",42.75323987007141,14,Grid Search
