,lr,epochs,val_acc,train_accs,val_accs,runtime,trial,method
0,1e-06,5,0.152,"[0.10706122448979592, 0.1213265306122449, 0.13283673469387755, 0.135, 0.13673469387755102]","[0.115, 0.124, 0.145, 0.132, 0.154]",75.96042823791504,1,Hidden Search
1,1e-06,5,0.156,"[0.12108163265306122, 0.13661224489795917, 0.14689795918367346, 0.15624489795918367, 0.1556938775510204]","[0.115, 0.141, 0.14, 0.159, 0.155]",16.25537419319153,2,Hidden Search
2,1e-06,6,0.132,"[0.11136734693877551, 0.12246938775510204, 0.135, 0.1446938775510204, 0.14993877551020407]","[0.105, 0.109, 0.146, 0.132, 0.143]",17.94224786758423,3,Hidden Search
3,1e-06,7,0.155,"[0.13726530612244897, 0.15518367346938775, 0.17173469387755103, 0.1823265306122449, 0.19171428571428573]","[0.125, 0.146, 0.19, 0.167, 0.188]",17.40361714363098,4,Hidden Search
4,1e-06,7,0.168,"[0.10195918367346939, 0.12016326530612245, 0.141, 0.15177551020408164, 0.1620408163265306, 0.16642857142857143, 0.1674081632653061]","[0.103, 0.116, 0.137, 0.145, 0.133, 0.167, 0.163]",23.59850025177002,5,Hidden Search
5,1e-06,8,0.2,"[0.12542857142857142, 0.14953061224489797, 0.169, 0.18022448979591837, 0.19024489795918367, 0.19548979591836735, 0.1973061224489796, 0.2000204081632653]","[0.13, 0.147, 0.164, 0.176, 0.172, 0.189, 0.188, 0.185]",27.499297380447388,6,Hidden Search
6,1e-06,9,0.14,"[0.107, 0.1213265306122449, 0.13293877551020408, 0.14842857142857144, 0.16112244897959183]","[0.113, 0.112, 0.158, 0.141, 0.152]",18.396729946136475,7,Hidden Search
7,1e-06,10,0.18,"[0.10106122448979592, 0.12173469387755102, 0.14081632653061224, 0.15016326530612245, 0.1603877551020408, 0.16377551020408163, 0.1759387755102041]","[0.092, 0.14, 0.151, 0.137, 0.178, 0.163, 0.171]",26.454901218414307,8,Hidden Search
8,1e-06,10,0.218,"[0.10038775510204082, 0.13124489795918368, 0.14820408163265306, 0.16853061224489796, 0.18375510204081633, 0.1883877551020408, 0.19979591836734695, 0.19881632653061224, 0.20516326530612244]","[0.1, 0.129, 0.136, 0.174, 0.182, 0.171, 0.216, 0.214, 0.193]",34.28869819641113,9,Hidden Search
9,1e-06,11,0.18,"[0.11285714285714285, 0.128, 0.14310204081632652, 0.16055102040816327, 0.1736734693877551, 0.1870408163265306, 0.19093877551020408, 0.19808163265306122]","[0.096, 0.125, 0.142, 0.16, 0.159, 0.204, 0.202, 0.196]",28.66886568069458,10,Hidden Search
