,lr,epochs,val_acc,train_accs,val_accs,runtime,trial,method
0,0.00041574753081968313,11,0.603,"[0.4803877551020408, 0.5421632653061225, 0.5683673469387756, 0.6033877551020408, 0.6048163265306122, 0.6282448979591837]","[0.444, 0.532, 0.56, 0.617, 0.602, 0.603]",18.348246812820435,1,Random Search
1,5.24839559112885e-05,18,0.529,"[0.37295918367346936, 0.4237755102040816, 0.45753061224489794, 0.47775510204081634, 0.49028571428571427, 0.5068367346938776, 0.5188367346938776, 0.5266122448979592, 0.5345918367346939, 0.5409795918367347, 0.5431428571428571, 0.5498367346938775, 0.5541632653061225, 0.5565918367346939, 0.5579387755102041, 0.5567755102040817]","[0.357, 0.404, 0.444, 0.463, 0.5, 0.498, 0.51, 0.512, 0.509, 0.522, 0.526, 0.531, 0.519, 0.554, 0.546, 0.534]",48.223947525024414,2,Random Search
2,1.6503730871045425e-06,6,0.155,"[0.1293265306122449, 0.14744897959183673, 0.1590408163265306, 0.16881632653061224, 0.17322448979591837, 0.17514285714285716]","[0.108, 0.132, 0.129, 0.146, 0.151, 0.173]",18.0954327583313,3,Random Search
3,0.008255986394844783,23,0.602,"[0.28389795918367344, 0.33393877551020407, 0.3902040816326531, 0.41951020408163264, 0.44648979591836735, 0.4454489795918367, 0.5104081632653061, 0.5444081632653062, 0.5614897959183673, 0.5693265306122449, 0.5955510204081632, 0.6118571428571429, 0.6097142857142858, 0.6045918367346939]","[0.278, 0.333, 0.373, 0.401, 0.449, 0.432, 0.518, 0.549, 0.557, 0.576, 0.576, 0.6, 0.596, 0.597]",42.22356033325195,4,Random Search
4,3.7993938901113015e-06,15,0.298,"[0.15312244897959185, 0.21840816326530613, 0.2554489795918367, 0.2794285714285714, 0.2923061224489796, 0.30281632653061225, 0.3099183673469388, 0.3183265306122449, 0.3239183673469388, 0.3243265306122449, 0.3291428571428571]","[0.141, 0.213, 0.257, 0.272, 0.282, 0.301, 0.301, 0.311, 0.326, 0.32, 0.32]",33.29621505737305,5,Random Search
5,4.731213879767784e-05,21,0.518,"[0.3511836734693878, 0.40853061224489795, 0.4373673469387755, 0.46140816326530615, 0.47716326530612246, 0.4980816326530612, 0.5084897959183673, 0.5178367346938776, 0.5246530612244898, 0.5323265306122449]","[0.343, 0.394, 0.425, 0.449, 0.46, 0.481, 0.508, 0.525, 0.519, 0.523]",30.28295350074768,6,Random Search
6,1.3456834604144712e-05,8,0.366,"[0.28169387755102043, 0.3322040816326531, 0.35859183673469386, 0.3731632653061224, 0.38293877551020405, 0.3890612244897959, 0.38710204081632654, 0.39132653061224487]","[0.265, 0.32, 0.332, 0.361, 0.372, 0.377, 0.368, 0.382]",24.123170614242554,7,Random Search
7,1.7246112864831265e-06,25,0.262,"[0.10489795918367346, 0.14873469387755103, 0.18836734693877552, 0.2156530612244898, 0.2346734693877551, 0.2460816326530612, 0.2532857142857143, 0.2643877551020408, 0.27255102040816326, 0.27808163265306124]","[0.102, 0.148, 0.177, 0.21, 0.219, 0.249, 0.237, 0.283, 0.258, 0.279]",30.1906635761261,8,Random Search
8,0.0002456557004948836,5,0.557,"[0.45440816326530614, 0.5109183673469387, 0.553795918367347, 0.566204081632653, 0.5755510204081633]","[0.444, 0.502, 0.527, 0.551, 0.572]",15.105770111083984,9,Random Search
9,3.140828085165515e-05,9,0.465,"[0.33153061224489794, 0.38255102040816324, 0.41259183673469385, 0.43075510204081635, 0.4403061224489796, 0.45210204081632654, 0.45585714285714285, 0.45848979591836736, 0.46]","[0.339, 0.354, 0.401, 0.419, 0.434, 0.443, 0.445, 0.448, 0.454]",27.132948398590088,10,Random Search
